time_ave,time_sd,data_ave,data_sd
1259.7761194029852,1843.347796573183,718.835820896,885.9063593421333,sencing
383.68518518518516,684.2732106531403,92.0833333333,13.533651474093123,sencing
418.65829145728645,694.3810401817683,96.3316582915,23.016501678391055,sencing
1998.7037037037037,3857.936800500101,96.6666666667,23.57022603955159,sencing
275.2443729903537,60.98857168926733,912.482315113,200.98167161186774,sencing
257.29940119760477,2270.5645042244414,419.817365269,741.1604306827385,sencing
4206.466666666666,7878.213789657878,96.0,22.44994432064365,sencing
2075.390243902439,3300.661610529303,96.5853658537,23.437488845922395,sencing
1571.0740740740741,1784.4967736742394,2398.59259259,1703.5273266190127,sencing
4009.6,1283.9902024548317,622.0,0.0,sencing
366.17596566523605,658.9607691026378,90.7725321888,8.302474993212094,sencing
2321.6285714285714,2107.8990364234955,2889.48571429,1402.9049121922205,sencing
289.2432432432432,41.44870187085087,493.581081081,40.386814397890106,sencing
3433.08,6737.730620438903,100.8,29.246538256689455,sencing
4451.285714285715,8155.114568947089,96.4285714286,23.17854391369707,sencing
3609.5454545454545,1740.0817307678585,225.818181818,64.3821236931469,sencing
566.1842105263158,1088.3835758461933,96.5131578947,23.318726053636404,sencing
232.01657458563537,2063.759061473433,448.428176796,696.0172940169736,sencing
1430.6363636363637,4066.0265006677255,96.1363636364,22.685188308564715,sencing
186.18987341772151,1431.170770409556,459.598101266,823.4788929970125,sencing
59.421864050455504,5.470827125171648,72.2564821303,33.82288390278503,sencing
3185.3703703703704,3725.898192960628,96.6666666667,23.570226039551592,sencing
170.53075170842826,1560.475801611242,1194.84965831,10126.70108954025,kensaku
598.5211267605633,5.686304661398407,113.0,0.0,sencing
404.17535545023696,741.6745895192965,91.7061611374,12.273692050184255,sencing
288.26599326599325,43.28606538294582,810.996632997,74.95329626947672,sencing
1842.7333333333333,3941.000067100848,103.866666667,36.445149044679304,sencing
1513.0,3221.5127861889587,90.0,0.0,sencing
3037.6,5906.592015705844,99.0,27.0,sencing
58.959694232105626,1.5284338333561809,866.269631689,101.91763622964726,sencing
1409.9285714285713,2792.149759703487,94.8214285714,20.26530034219042,sencing
215.94949494949495,90.47209221324476,770.46969697,397.31402051766173,sencing
1705.4444444444443,5291.851201215172,97.5,24.8746859276655,sencing
930.6321839080459,1985.5294097859937,95.1724137931,20.94667937722406,sencing
1499.9285714285713,1647.003858278321,2642.46428571,1609.5565268142038,sencing
