time_ave,time_sd,data_ave,data_sd
1453.344827586207,1895.0977097157281,799.913793103,943.5160997563344,sencing
358.4621848739496,538.5414286930545,90.3781512605,5.821564658196043,sencing
500.4823529411765,861.8538515626009,96.8823529412,23.9174618782797,sencing
5936.333333333333,4375.405606594915,120.0,42.42640687119285,sencing
279.562091503268,65.20874776568031,931.581699346,188.04215263699217,sencing
254.63235294117646,1989.976717306988,440.341911765,720.255880803231,sencing
973.6666666666666,2731.9420849563326,97.5,24.8746859276655,sencing
1751.0816326530612,2654.3104399642953,99.1836734694,27.243178115861628,sencing
1614.2307692307693,1938.0442224789451,2826.71153846,1822.717195420685,sencing
4185.9473684210525,832.7565812082822,616.578947368,39.77610468805518,sencing
365.9184549356223,500.9760064270942,91.5450643777,11.690533352256965,sencing
2623.75,2284.1496092638067,2920.03125,1694.1821309332233,sencing
291.01360544217687,48.53051307420611,488.632653061,43.81556608942522,sencing
5164.2,8976.534930584294,90.0,0.0,sencing
1876.1764705882354,3944.891622089839,95.2941176471,21.176470588235293,sencing
3585.0,1666.0502011425924,203.727272727,68.94608026183268,sencing
458.1445086705202,776.3362055016729,97.8034682081,25.326231907917393,sencing
192.1644908616188,1618.6021340972409,433.885117493,664.920284087529,sencing
2821.8888888888887,6779.880668311441,95.0,20.615528128088304,sencing
431.1842105263158,3929.468675448323,425.782894737,679.9296975826086,sencing
59.97736916548798,18.646060817941386,71.2574257426,35.40575370407195,sencing
2787.689655172414,3137.654044614557,99.3103448276,27.408913033431247,sencing
135.2906793048973,959.4943989432601,683.473933649,6094.808861495733,kensaku
611.4604316546763,84.02819552375945,113.0,0.0,sencing
363.5617021276596,564.2271077957612,90.7659574468,8.267374395927936,sencing
289.0405405405405,41.46895262892772,817.155405405,92.6596659124011,sencing
808.6666666666666,1786.6959885653605,101.25,29.764702249476645,sencing
1424.5384615384614,2727.8730123665277,90.0,0.0,sencing
2903.6666666666665,6922.150982333613,101.25,29.764702249476645,sencing
59.16875871687587,3.8561259555799734,869.29776848,112.90138330447299,sencing
1324.5,2363.6340135477826,97.03125,24.15313692747797,sencing
217.4529262086514,96.59552588607991,762.875318066,395.45049805721817,sencing
3118.2,4962.707905972302,90.0,0.0,sencing
1471.7843137254902,2484.650165249729,97.0588235294,24.196428001415455,sencing
1257.8852459016393,1279.2502171111948,2753.85245902,2039.3425478354497,sencing
